id,city,state,old_id,year
286,Springfield,IL,51,2013
415,Cheyenne,WY,52,2013
317,Fargo,ND,53,2013
301,Kennewick,WA,54,2013
381,La Crosse,WI,55,2013
376,Valdosta,GA,56,2013
335,Houma,LA,57,2013
null,Greenville,NC,58,2013
270,Hickory,NC,59,2013
181,Cincinnati,OH,60,2013
170,St. Louis,MO,61,2013
258,Asheville,NC,62,2013
391,Beckley,WV,63,2013
260,Myrtle Beach,SC,64,2013
169,Orlando,FL,65,2013
153,"Washington, D. C.",DC,66,2013
399,Anniston,AL,67,2013
312,Crestview,FL,68,2013
235,Youngstown,OH,69,2013
268,Macon,GA,70,2013
308,Monroe,LA,71,2013
171,Tampa,FL,72,2013
202,Albany,NY,73,2013
407,Sumter,SC,74,2013
404,Wenatchee,WA,75,2013
239,Lakeland,FL,76,2013
273,Appleton,WI,77,2013
422,Lewiston,ID,78,2013
328,Lima,OH,79,2013
201,Rochester,NY,80,2013
277,Gulfport,MS,81,2013
254,Johnson City,TN,82,2013
307,Lynchburg,VA,83,2013
159,Atlanta,GA,84,2013
363,Williamsport,PA,85,2013
252,Corpus Christi,TX,86,2013
309,Dothan,AL,87,2013
365,Parkersburg,WV,88,2013
232,Wichita,KS,89,2013
194,Greenville,SC,90,2013
193,Greenville,SC,90,2013
314,Yakima,WA,91,2013
267,Cedar Rapids,IA,92,2013
361,Kahului,HI,93,2013
199,Harrisburg,PA,94,2013
396,Bismarck,ND,95,2013
375,Saint George,UT,96,2013
278,Montgomery,AL,97,2013
246,Palm Bay,FL,98,2013
262,Rockford,IL,99,2013
380,Manhattan,KS,100,2013
279,Erie,PA,101,2014
353,El Centro,CA,102,2014
160,Detroit,MI,103,2014
250,Lancaster,PA,104,2014
263,Brownsville,TX,105,2014
225,Boise,ID,106,2014
421,Walla Walla,WA,107,2014
321,College Station,TX,108,2014
251,Kalamazoo,MI,109,2014
410,Fond du Lac,WI,110,2014
316,Lafayette,IN,111,2014
220,Baton Rouge,LA,112,2014
336,Bloomington,IN,113,2014
398,Victoria,TX,114,2014
414,Dubuque,IA,115,2014
377,Homosassa Springs,FL,116,2014
409,Cumberland,MD,117,2014
261,Shreveport,LA,118,2014
null,Los Angeles,CA,119,2014
168,Portland,OR,120,2014
192,Grand Rapids,MI,121,2014
237,Portland,ME,122,2014
276,Salisbury,MD,123,2014
338,Pueblo,CO,124,2014
315,Redding,CA,125,2014
372,Florence,AL,126,2014
417,Grand Island,NE,127,2014
257,Davenport,IA,128,2014
204,Tulsa,OK,129,2014
356,Jonesboro,AR,130,2014
310,Rochester,MN,131,2014
167,San Diego,CA,132,2014
400,Owensboro,KY,133,2014
157,Miami,FL,134,2014
186,Virginia Beach,VA,135,2014
343,Yuma,AZ,136,2014
330,Johnstown,PA,137,2014
300,Clarksville,TN,138,2014
296,Fort Smith,AR,139,2014
200,Buffalo,NY,140,2014
236,Toledo,OH,141,2014
173,Sacramento,CA,142,2014
419,Danville,IL,143,2014
224,South Bend,IN,144,2014
274,Anchorage,AK,145,2014
203,Albuquerque,NM,146,2014
175,Kansas City,MO,147,2014
349,Jacksonville,NC,148,2014
211,Honolulu,HI,149,2014
382,Lawton,OK,150,2014
